NAME : P = NP
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
0 21.589652995308906 75.60815026971795
1 28.778545588266958 48.735018636918056
2 2.961475499768018 63.12262413578619
3 37.76633642182827 1.8903318946282943
4 90.4438106853372 84.84197148760359
5 1.2658664434488154 98.61953694696408
6 93.45763811750756 28.163278945474033
7 78.0599963087331 57.27058644338487
8 65.67097505018758 84.30095857390988
9 43.78981037487224 14.073279407697047
10 19.666200218101594 79.66190881175386
11 93.53722915507173 65.7444983373506
12 26.70557808704882 28.452351004891064
13 15.254261132194758 28.647434805369475
14 69.48506233599949 85.29477168257873
15 67.12363024391081 50.167365781238146
16 8.445042284406423 15.38556500829127
17 49.53531510529625 56.858424999739654
18 17.995575495402917 23.629460530821532
19 83.14254580283809 37.95394740766571
20 52.91288121693989 89.01095463596113
21 30.35504574832759 34.884994073364226
22 21.591580219866714 85.75074065169377
23 95.28730455095354 70.42720138537474
24 2.3794299311353573 64.52666511271154
25 1.5563489603862113 61.868334480183016
26 64.43093810362559 90.6460970065225
27 74.13007253533883 21.414514588384883
28 78.5222088197189 12.946350827847885
29 29.832238361470033 15.457388337001222
30 77.54163854516796 45.54608855521195
31 0.8028910774979914 24.36078361384235
32 12.166354140638468 58.3633535233196
33 64.82084858534306 2.3440102810099894
34 17.990300051571527 43.09340446971579
35 86.83232087523474 46.48798442676991
36 13.698301585618488 50.71043563860022
37 56.507806627712874 0.997372984958167
38 26.044148775067555 39.93196548700369
39 86.07733006514039 73.27616873960667
40 14.192419202179597 40.14120790143504
41 35.420446845227275 33.29481138092633
42 11.225664772506505 39.8880101064043
43 3.01929713570096 64.82968403837566
44 16.857542863458786 30.61038585658923
45 57.10854924015921 73.87886232115846
46 47.03382210968181 14.68084932796071
47 80.82092780315932 67.57905208477044
48 79.16476916436773 61.51998731518516
49 42.92764881500565 53.93791584765621
50 85.42921360262925 36.893977041127734
51 74.37481204837901 52.590885834792736
52 93.78992101739382 97.45451531594827
53 15.785396408494968 93.32827844477164
54 54.77371441443955 69.94975546049992
55 84.15567727743569 41.30150701049155
56 67.22341004452883 68.96765332337279
57 29.031930606040557 61.77773243029876
58 30.175855323337153 14.208104291055557
59 22.681323685264854 33.78275035558846
60 69.66324082163582 74.52770949921835
61 11.67856712397114 94.74091530684625
62 19.243922200809326 13.55512431025564
63 88.9303330912754 0.05452106922051447
64 13.538666811865186 8.37327933544001
65 60.64731054689538 75.75313830645476
66 32.324766084130886 89.02657115795914
67 20.537788240862653 53.94299970691514
68 50.872691936756354 73.57139625402745
69 5.684437341236748 54.96921572205253
70 7.108549780449602 61.11040696316509
71 74.14463487592985 82.97458940887557
72 57.25875379268245 94.80061226233465
73 94.72180794846156 47.012426052150225
74 72.47087857355861 92.86315502154444
75 18.560591517223457 84.62417761764652
76 35.580054207170896 61.86657223705211
77 70.86070446651149 2.34403478273264
78 51.42134173044507 76.10159118672169
79 0.14754229507631944 73.50389317328165
80 31.72945440616177 14.095373584034176
81 67.30867921891809 26.696012275189563
82 34.6345503877034 51.614423628271936
83 66.83335431044713 40.15145777750489
84 59.04830023989353 31.370731932080787
85 96.61534705203188 11.297547739455016
86 46.209241705872905 27.045564196549087
87 89.68470788630427 32.86220975558861
88 7.794488516572384 84.5145728400933
89 65.87922282405717 28.026907616353412
90 96.38814826552648 46.15870330740239
91 31.559187777693488 91.92316603128616
92 9.527898581416483 39.11210499383431
93 60.21947792072475 31.0384738004972
94 76.60667014224764 35.09948115512537
95 28.050359526531878 83.50079976754769
96 71.47763948061935 32.76243839816365
97 11.448292046427344 56.99420612904629
98 14.935408255161352 71.33977149118141
99 66.62256662817629 75.74705847028406
